Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x3,1,220UF,
C2,0805,1,C,
F1,1210,1,Fuse,
J1,PS-12E05,1,~,
J2,TE_6364372-2,1,Joystick 2,
J3,TE_6364372-2,1,Joystick 1,
J4,TE_6364372-2,1,Keyboard,
J5,Conn_uSDcard,1,Micro_SD_Card,
J6,BarrelJack_Horizontal,1,Barrel_Jack,
J7,DSUB-15-HD_Socket_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,DA15_Pins,
J8,PS-22F05,1,~,
J9,PJ-307,1,AudioJack2_Ground,
"R1, R4, R6",0805,3,560R,
R10,0805,1,1k,
"R2, R3, R5",0805,3,1.2KR,
"R7, R8, R9",0805,3,10KR,
U1,ESP32-S3-WROOM-1,1,~,
