Designator,Mid X,Mid Y,Rotation,Layer
C1,110.19,-79.7,270.0,top
C2,153.25,-72.325,270.0,top
F1,100.39,-78.7,270.0,top
J1,106.626,-111.949,270.0,top
J2,157.425,-112.612,0.0,top
J3,137.125,-112.612,0.0,top
J4,177.725,-112.612,0.0,top
J5,99.775,-95.025,270.0,top
J6,106.6,-67.425,270.0,top
J7,167.8,-65.09,180.0,top
J8,116.5,-112.125,180.0,top
J9,142.075,-65.5,270.0,top
R1,167.83,-84.3,90.0,bottom
R10,157.25,-72.325,270.0,top
R2,163.09,-84.3,270.0,bottom
R3,172.57,-84.3,270.0,bottom
R4,177.31,-84.3,90.0,bottom
R5,182.05,-84.3,270.0,bottom
R6,186.79,-84.3,90.0,bottom
R7,112.45,-90.75,180.0,top
R8,112.45,-94.05,180.0,top
R9,112.5,-97.4,180.0,top
U1,171.545,-89.375,90.0,top
